samples	length	total_targets	total_size	recover_samples	coassembly
SRR6877508,SRR6877510	2	9713	41454930300	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_0
SRR6877509,SRR6877515	2	8932	40324191900	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_1
SRR6873776,SRR6877511	2	8752	39968259300	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_2
SRR6877507,SRR6877513	2	8506	35911601700	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_3
SRR6877514,SRR6877517	2	7861	34147173000	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_4
SRR6877506,SRR6877512	2	6626	23609331300	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_5
SRR6873775,SRR6873778	2	5568	29089298700	SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873785,SRR6873786,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877513,SRR6877515,SRR6877516,SRR6877520	coassembly_6
SRR6873784,SRR6873786	2	4486	45027144300	SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873785,SRR6873786,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877513,SRR6877514,SRR6877515,SRR6877520	coassembly_7
SRR6869039,SRR6869043	2	3386	44732778900	SRR6854573,SRR6854585,SRR6854586,SRR6854587,SRR6854589,SRR6869034,SRR6869035,SRR6869039,SRR6869040,SRR6869041,SRR6869042,SRR6869043,SRR6869390,SRR6869392,SRR6869393,SRR6869394,SRR6869395,SRR6873785,SRR6873786,SRR6877520	coassembly_8
SRR6854572,SRR6854573	2	3358	44114541000	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_9
SRR6854571,SRR6854576	2	3062	45424255800	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_10
SRR6869052,SRR6869055	2	2946	36998931300	SRR6854575,SRR6854603,SRR6854605,SRR6854606,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877514,SRR6877515,SRR6877517,SRR6877521	coassembly_11
SRR6869051,SRR6869053	2	2785	34076565000	SRR6854575,SRR6854602,SRR6854603,SRR6854605,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877514,SRR6877515,SRR6877517,SRR6877521	coassembly_12
SRR6873783,SRR6877516	2	2779	44929753200	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_13
SRR6854602,SRR6854606	2	2769	47125388100	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_14
SRR6854605,SRR6854607	2	2759	49906325100	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_15
SRR6869046,SRR6869048	2	2571	37005860700	SRR6854575,SRR6854602,SRR6854603,SRR6854605,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877514,SRR6877515,SRR6877517,SRR6877521	coassembly_16
SRR6873776,SRR6877506,SRR6877512	3	2554	49332929100	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_17
SRR6873777,SRR6873780	2	2437	43282643700	SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873785,SRR6873786,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877513,SRR6877515,SRR6877516,SRR6877520	coassembly_18
SRR6869045,SRR6869054	2	2263	35214339900	SRR6854575,SRR6854603,SRR6854605,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6869387,SRR6877514,SRR6877515,SRR6877517,SRR6877521	coassembly_19
SRR6854582,SRR6854603	2	2252	42915727500	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854584,SRR6854587,SRR6854589,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_20
SRR6869044,SRR6869049	2	2218	33139382700	SRR6854575,SRR6854581,SRR6854602,SRR6854603,SRR6854605,SRR6854607,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877506,SRR6877521	coassembly_21
SRR6854587,SRR6854589	2	2068	39698216100	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854580,SRR6854582,SRR6854583,SRR6854585,SRR6854586,SRR6854587,SRR6854588,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_22
SRR6873781,SRR6873782	2	1899	47933678700	SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873786,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877513,SRR6877514,SRR6877515,SRR6877517,SRR6877520	coassembly_23
SRR6877511,SRR6877513,SRR6877516	3	1665	49039585800	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_24
SRR6869398,SRR6869399	2	1642	49092186600	SRR6869023,SRR6869034,SRR6869387,SRR6869388,SRR6869389,SRR6869391,SRR6869392,SRR6869393,SRR6869395,SRR6869396,SRR6869397,SRR6869398,SRR6869399,SRR6873775,SRR6873781,SRR6873786,SRR6877520,SRR6907236,SRR6907237,SRR6907238	coassembly_25
SRR6854583,SRR6854604	2	1613	35585519400	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854581,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_26
SRR6869391,SRR6869393	2	1521	47212650300	SRR6854602,SRR6854605,SRR6869023,SRR6869041,SRR6869387,SRR6869388,SRR6869389,SRR6869390,SRR6869391,SRR6869392,SRR6869393,SRR6869394,SRR6869395,SRR6869396,SRR6869397,SRR6869398,SRR6869399,SRR6873781,SRR6907236,SRR6907237	coassembly_27
SRR6854578,SRR6854580	2	1189	20908194900	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854584,SRR6854587,SRR6854589,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_28
SRR6869387,SRR6869389	2	1161	41145113100	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854580,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6869387,SRR6869388,SRR6869389,SRR6877521	coassembly_29
SRR6854586,SRR6854590	2	908	32495241300	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854580,SRR6854582,SRR6854583,SRR6854585,SRR6854586,SRR6854587,SRR6854588,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_30
SRR6854577,SRR6854579	2	906	19456854600	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854581,SRR6854582,SRR6854583,SRR6854584,SRR6854589,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_31
SRR6854716,SRR6854717	2	891	31900584000	SRR6854591,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854711,SRR6854712,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854724	coassembly_32
SRR6869396,SRR6869397	2	814	37476773400	SRR6869023,SRR6869387,SRR6869388,SRR6869389,SRR6869391,SRR6869392,SRR6869393,SRR6869394,SRR6869395,SRR6869396,SRR6869397,SRR6869398,SRR6869399,SRR6873775,SRR6873781,SRR6873783,SRR6877520,SRR6907236,SRR6907237,SRR6907238	coassembly_33
SRR6869031,SRR6869032	2	727	28787972100	SRR6854574,SRR6854575,SRR6854581,SRR6854585,SRR6854586,SRR6854722,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869031,SRR6869032,SRR6869033,SRR6869037,SRR6869038,SRR6869044,SRR6877521	coassembly_34
SRR6854709,SRR6854713	2	724	33160794900	SRR6854591,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854711,SRR6854712,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854718,SRR6854719,SRR6854721,SRR6854724,SRR6877521	coassembly_35
SRR6869047,SRR6869050	2	709	30850318800	SRR6854602,SRR6854603,SRR6854605,SRR6854606,SRR6854607,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877506,SRR6877511,SRR6877521	coassembly_36
SRR6854711,SRR6854714	2	672	33372624300	SRR6854592,SRR6854593,SRR6854594,SRR6854709,SRR6854710,SRR6854711,SRR6854712,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854723,SRR6854724,SRR6869030,SRR6877521	coassembly_37
SRR6873775,SRR6873777,SRR6873778	3	627	45125832900	SRR6854574,SRR6854575,SRR6854581,SRR6854587,SRR6854589,SRR6869044,SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873785,SRR6873786,SRR6877510,SRR6877520	coassembly_38
SRR6869044,SRR6869049,SRR6869050	3	621	46244371200	SRR6854574,SRR6854575,SRR6854581,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877506,SRR6877511,SRR6877512,SRR6877514,SRR6877517	coassembly_39
SRR6869028,SRR6869029	2	591	30201579300	SRR6854571,SRR6854572,SRR6854574,SRR6854575,SRR6854581,SRR6854584,SRR6854603,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869031,SRR6869032,SRR6869033,SRR6869037,SRR6869038,SRR6877521	coassembly_40
SRR6907236,SRR6907238	2	590	48868269300	SRR6854571,SRR6869023,SRR6869034,SRR6869035,SRR6869039,SRR6869040,SRR6869387,SRR6869388,SRR6869389,SRR6869396,SRR6869397,SRR6869398,SRR6869399,SRR6873775,SRR6873781,SRR6873786,SRR6877520,SRR6907236,SRR6907237,SRR6907238	coassembly_41
SRR6854585,SRR6854588	2	565	24460842600	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854582,SRR6854585,SRR6854586,SRR6854587,SRR6854588,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6869387,SRR6869388,SRR6877521	coassembly_42
SRR6854718,SRR6854724	2	534	26736258300	SRR6854592,SRR6854593,SRR6854594,SRR6854595,SRR6854709,SRR6854710,SRR6854711,SRR6854712,SRR6854713,SRR6854714,SRR6854715,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854722,SRR6854723,SRR6854724,SRR6854725,SRR6877521	coassembly_43
SRR6854574,SRR6854575	2	498	27691004400	SRR6854571,SRR6854572,SRR6854574,SRR6854575,SRR6854581,SRR6854589,SRR6854721,SRR6854722,SRR6854723,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869033,SRR6869037,SRR6869038,SRR6877521	coassembly_44
SRR6854719,SRR6854721	2	492	27341250600	SRR6854592,SRR6854593,SRR6854594,SRR6854709,SRR6854710,SRR6854711,SRR6854712,SRR6854713,SRR6854714,SRR6854715,SRR6854717,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854722,SRR6854723,SRR6854724,SRR6869030,SRR6877521	coassembly_45
SRR6854592,SRR6854594	2	479	19952402100	SRR6854592,SRR6854593,SRR6854594,SRR6854595,SRR6854596,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854711,SRR6854712,SRR6854714,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854722,SRR6854723,SRR6854724,SRR6877521	coassembly_46
SRR6854601,SRR6854715	2	474	27970731300	SRR6854591,SRR6854592,SRR6854593,SRR6854594,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854711,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854719,SRR6854721,SRR6877521	coassembly_47
SRR6869030,SRR6869038	2	447	26670496500	SRR6854718,SRR6854719,SRR6854722,SRR6854724,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869031,SRR6869032,SRR6869033,SRR6869037,SRR6869038,SRR6873775,SRR6873778,SRR6877520,SRR6877521	coassembly_48
SRR6869027,SRR6869033	2	424	26435044800	SRR6854574,SRR6854575,SRR6854581,SRR6854710,SRR6854724,SRR6854725,SRR6854726,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869031,SRR6869032,SRR6869033,SRR6869037,SRR6869038,SRR6877521	coassembly_49
SRR6854599,SRR6854600	2	422	24420245400	SRR6854591,SRR6854592,SRR6854593,SRR6854594,SRR6854595,SRR6854596,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854711,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854719	coassembly_50
SRR6869388,SRR6869392	2	379	45371535900	SRR6869023,SRR6869034,SRR6869039,SRR6869387,SRR6869388,SRR6869389,SRR6869390,SRR6869391,SRR6869392,SRR6869393,SRR6869394,SRR6869395,SRR6869396,SRR6869397,SRR6869398,SRR6869399,SRR6873781,SRR6907236,SRR6907237,SRR6907238	coassembly_51
SRR6869034,SRR6869041	2	372	49425907200	SRR6854571,SRR6854572,SRR6854573,SRR6854585,SRR6854587,SRR6854589,SRR6869023,SRR6869034,SRR6869035,SRR6869036,SRR6869039,SRR6869040,SRR6869041,SRR6869042,SRR6869043,SRR6869390,SRR6869392,SRR6869393,SRR6869394,SRR6873785	coassembly_52
SRR6869024,SRR6869026	2	368	30056139600	SRR6854574,SRR6854575,SRR6854581,SRR6854586,SRR6854718,SRR6854719,SRR6854724,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869031,SRR6869032,SRR6869033,SRR6869037,SRR6869038,SRR6877521	coassembly_53
SRR6854591,SRR6854597	2	342	18814264200	SRR6854591,SRR6854592,SRR6854593,SRR6854594,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854711,SRR6854712,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854719,SRR6877521	coassembly_54
SRR6854595,SRR6854596	2	302	24757761300	SRR6854592,SRR6854593,SRR6854594,SRR6854595,SRR6854596,SRR6854597,SRR6854598,SRR6854600,SRR6854603,SRR6854711,SRR6854712,SRR6854714,SRR6854718,SRR6854719,SRR6854722,SRR6854723,SRR6854724,SRR6854725,SRR6854726,SRR6877521	coassembly_55
SRR6869025,SRR6869037	2	291	24889285500	SRR6854574,SRR6854575,SRR6854581,SRR6854711,SRR6854718,SRR6854724,SRR6854725,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869031,SRR6869032,SRR6869033,SRR6869037,SRR6869038,SRR6877521	coassembly_56
SRR6854712,SRR6854720	2	289	31451859900	SRR6854575,SRR6854592,SRR6854593,SRR6854594,SRR6854709,SRR6854710,SRR6854711,SRR6854712,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854724,SRR6869030,SRR6877521	coassembly_57
SRR6854723,SRR6854725	2	263	33691818900	SRR6854575,SRR6854595,SRR6854596,SRR6854602,SRR6854603,SRR6854605,SRR6854606,SRR6854711,SRR6854712,SRR6854714,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854722,SRR6854723,SRR6854724,SRR6854725,SRR6854726,SRR6877521	coassembly_58
SRR6854598,SRR6854710	2	214	25558822500	SRR6854591,SRR6854592,SRR6854593,SRR6854594,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854711,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854718,SRR6854719,SRR6854723	coassembly_59
SRR6854581,SRR6854584	2	190	26396430300	SRR6854571,SRR6854572,SRR6854573,SRR6854575,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854581,SRR6854582,SRR6854583,SRR6854584,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_60
SRR6854722,SRR6854726	2	118	36862157100	SRR6854571,SRR6854572,SRR6854573,SRR6854574,SRR6854575,SRR6854581,SRR6854586,SRR6854587,SRR6854589,SRR6854602,SRR6854603,SRR6854605,SRR6854606,SRR6854607,SRR6854721,SRR6854722,SRR6854723,SRR6854725,SRR6854726,SRR6877521	coassembly_61
SRR6854709,SRR6854713,SRR6854716	3	83	49555236900	SRR6854591,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854603,SRR6854605,SRR6854606,SRR6854709,SRR6854710,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854719,SRR6854720,SRR6854721,SRR6877521	coassembly_62
SRR6854591,SRR6854597,SRR6854601	3	56	31268389500	SRR6854573,SRR6854574,SRR6854575,SRR6854588,SRR6854591,SRR6854593,SRR6854594,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854713,SRR6854715,SRR6854716,SRR6854717,SRR6854721,SRR6877521	coassembly_63
SRR6854592,SRR6854593,SRR6854594	3	54	26950279800	SRR6854574,SRR6854575,SRR6854592,SRR6854593,SRR6854594,SRR6854595,SRR6854598,SRR6854709,SRR6854711,SRR6854714,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854722,SRR6854723,SRR6854724,SRR6869031,SRR6869033,SRR6877521	coassembly_64
SRR6854591,SRR6854597,SRR6854601,SRR6854715	4	53	46784995500	SRR6854572,SRR6854574,SRR6854587,SRR6854591,SRR6854593,SRR6854594,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854713,SRR6854715,SRR6854716,SRR6854717,SRR6854720,SRR6854722,SRR6877521	coassembly_65
SRR6854718,SRR6854719,SRR6854724	3	51	41048546100	SRR6854574,SRR6854575,SRR6854584,SRR6854709,SRR6854711,SRR6854714,SRR6854715,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854722,SRR6854723,SRR6854724,SRR6854725,SRR6869025,SRR6869027,SRR6869028,SRR6869029,SRR6877521	coassembly_66
SRR6869026,SRR6869030,SRR6869038	3	43	42410948100	SRR6854584,SRR6854719,SRR6854720,SRR6854721,SRR6854722,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869031,SRR6869032,SRR6869033,SRR6869037,SRR6869038,SRR6873775,SRR6877521	coassembly_67
SRR6854585,SRR6854586,SRR6854588	3	39	39143321400	SRR6854573,SRR6854585,SRR6854586,SRR6854587,SRR6854588,SRR6854589,SRR6854590,SRR6854603,SRR6854604,SRR6854606,SRR6854711,SRR6854713,SRR6854718,SRR6869027,SRR6873777,SRR6877521	coassembly_68
SRR6854574,SRR6854575,SRR6854581	3	26	43604865600	SRR6854571,SRR6854574,SRR6854575,SRR6854581,SRR6854603,SRR6854605,SRR6854711,SRR6854712,SRR6854714,SRR6854720,SRR6854721,SRR6854722,SRR6854723,SRR6854724,SRR6869029,SRR6869031,SRR6869033,SRR6869044,SRR6869050,SRR6877521	coassembly_69
SRR6854598,SRR6854599,SRR6854600	3	20	34892920500	SRR6854585,SRR6854589,SRR6854595,SRR6854596,SRR6854598,SRR6854599,SRR6854600,SRR6854601,SRR6854709,SRR6854710,SRR6854713,SRR6854716,SRR6854723,SRR6854725	coassembly_70
SRR6854592,SRR6854593,SRR6854596,SRR6854598	4	19	36587865000	SRR6854591,SRR6854592,SRR6854593,SRR6854594,SRR6854595,SRR6854596,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601	coassembly_71
SRR6854592,SRR6854593,SRR6854596,SRR6854597,SRR6854598	5	19	45842935800	SRR6854591,SRR6854592,SRR6854593,SRR6854594,SRR6854595,SRR6854596,SRR6854597,SRR6854598,SRR6854599,SRR6854600,SRR6854601	coassembly_72
SRR6869028,SRR6869029,SRR6869037	3	18	43535022600	SRR6854584,SRR6854588,SRR6854606,SRR6854710,SRR6854713,SRR6854718,SRR6854724,SRR6869024,SRR6869025,SRR6869026,SRR6869027,SRR6869028,SRR6869029,SRR6869030,SRR6869031,SRR6869032,SRR6869033,SRR6869037,SRR6869038,SRR6877521	coassembly_73
SRR6854593,SRR6873779	2	15	32220107400	SRR6854593,SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873786,SRR6877507,SRR6877508,SRR6877510,SRR6877512,SRR6877513,SRR6877515,SRR6877517,SRR6877520	coassembly_74
SRR6854595,SRR6854596,SRR6854723	3	13	41334945900	SRR6854571,SRR6854572,SRR6854575,SRR6854580,SRR6854595,SRR6854596,SRR6854602,SRR6854603,SRR6854606,SRR6854607,SRR6854718,SRR6854720,SRR6854723,SRR6854724,SRR6854725,SRR6854726,SRR6869046,SRR6869048,SRR6869053,SRR6869055	coassembly_75
SRR6869024,SRR6869031,SRR6869032	3	12	43103660100	SRR6869024,SRR6869025,SRR6869031,SRR6869032	coassembly_76
SRR6854711,SRR6854714,SRR6854721	3	11	46401587100	SRR6854574,SRR6854709,SRR6854710,SRR6854711,SRR6854712,SRR6854713,SRR6854714,SRR6854715,SRR6854716,SRR6854717,SRR6854718,SRR6854719,SRR6854720,SRR6854721,SRR6854723,SRR6854724,SRR6854725,SRR6854726,SRR6869030,SRR6869045	coassembly_77
